,Rank,Movie,Studio,Gross,Theatre,Opening,Opening Theatre,Date,Franchise,Year
277,19,You Only Live Twice,UA,43084787,0,0,0,6/13/67,James Bond,2067
278,20,Live and Let Die,UA,35377836,0,0,0,6/27/73,James Bond,1973
279,21,Licence to Kill,UA,34667015,1587,8774776,1575,7/14/89,James Bond,1989
280,22,"From Russia, with Love",UA,24796765,0,0,0,4/8/64,James Bond,2064
281,23,On Her Majesty's Secret Service,UA,22774493,0,0,0,12/18/69,James Bond,1969
282,24,The Man with the Golden Gun,UA,20972000,0,0,0,12/18/74,James Bond,1974
283,25,Dr. No,UA,16067035,0,0,0,5/8/63,James Bond,2063
284,1,Jaws,Uni.,260000000,675,7061513,409,6/20/75,Jaws,1975
285,2,Jaws 2,Uni.,77737272,640,9866023,640,6/16/78,Jaws,1978
286,3,Jaws 3-D,Uni.,45517055,1311,13422500,1300,7/22/83,Jaws,1983
287,4,Jaws IV: The Revenge,Uni.,20763013,1611,7154890,1606,7/17/87,Jaws,1987
288,1,John Wick: Chapter Two,LG/S,92029184,3113,30436123,3113,2/10/17,John Wick,2017
289,2,John Wick,LG/S,43037835,2589,14415922,2589,10/24/14,John Wick,2014
290,1,22 Jump Street,Sony,191719337,3426,57071445,3306,6/13/14,Jump Street,2014
291,2,21 Jump Street,Sony,138447667,3148,36302612,3121,3/16/12,Jump Street,2012
292,1,Jurassic World,Uni.,652270625,4291,208806270,4274,6/12/15,Jurassic Park,2015
293,2,Jurassic Park,Uni.,357067947,2566,47026828,2404,6/11/93,Jurassic Park,1993
294,3,Jurassic World: Fallen Kingdom,Uni.,274279755,4485,148024610,4475,6/22/18,Jurassic Park,2018
295,4,The Lost World: Jurassic Park,Uni.,229086679,3565,72132785,3281,5/23/97,Jurassic Park,1997
296,5,Jurassic Park III,Uni.,181171875,3462,50771645,3434,7/18/01,Jurassic Park,2001
297,1,The Karate Kid,Sony,176591618,3740,55665805,3663,6/11/10,The Karate Kid,2010
298,2,The Karate Kid Part II,Col.,115103979,1610,12652336,1323,6/20/86,The Karate Kid,1986
299,3,The Karate Kid,Col.,90815558,1111,5031753,931,6/22/84,The Karate Kid,1984
300,4,The Karate Kid Part III,Col.,38956288,1569,10364544,1560,6/30/89,The Karate Kid,1989
301,5,The Next Karate Kid,Col.,8914777,1489,2620484,1489,8/12/94,The Karate Kid,1994
302,1,King Kong,Uni.,218080025,3627,50130145,3568,12/14/05,King Kong,2005
303,2,Kong: Skull Island,WB,168052812,3846,61025472,3846,3/10/17,King Kong,2017
304,3,King Kong (1976),Par.,52614445,0,7023921,974,12/17/76,King Kong,1976
305,4,King Kong Lives,DEG,4711220,1105,1172942,1105,12/19/86,King Kong,1986
306,1,Kingsman: The Secret Service,Fox,128261724,3282,36206331,3204,2/13/15,Kingsman Franchise,2015
307,2,Kingsman: The Golden Circle,Fox,100234838,4038,39023010,4003,9/22/17,Kingsman Franchise,2017
308,1,Kung Fu Panda,P/DW,215434591,4136,60239130,4114,6/6/08,Kung Fu Panda,2008
309,2,Kung Fu Panda 2,P/DW,165249063,3952,47656302,3925,5/26/11,Kung Fu Panda,2011
310,3,Kung Fu Panda 3,Fox,143528619,3987,41282042,3955,1/29/16,Kung Fu Panda,2016
311,1,The LEGO Movie,WB,257760692,3890,69050279,3775,2/7/14,LEGO,2014
312,2,The LEGO Batman Movie,WB,175750384,4088,53003468,4088,2/10/17,LEGO,2017
313,3,The LEGO Ninjago Movie,WB,59281555,4047,20433071,4047,9/22/17,LEGO,2017
314,1,Lethal Weapon 2,WB,147253986,1830,20388800,1803,7/7/89,Lethal Weapon,1989
315,2,Lethal Weapon 3,WB,144731527,2568,33243086,2510,5/15/92,Lethal Weapon,1992
316,3,Lethal Weapon 4,WB,130444603,3117,34048124,3117,7/10/98,Lethal Weapon,1998
317,4,Lethal Weapon,WB,65207127,1420,6829949,1256,3/6/87,Lethal Weapon,1987
318,1,Look Who's Talking,TriS,140088813,1651,12107784,1208,10/13/89,Look Who's Talking,1989
319,2,Look Who's Talking Too,TriS,47789074,1647,8100640,1576,12/14/90,Look Who's Talking,1990
320,3,Look Who's Talking Now,TriS,10340263,1886,4022570,1858,11/5/93,Look Who's Talking,1993
321,1,The Lord of the Rings: The Return of the King,NL,377027325,3703,72629713,3703,12/17/03,The Lord of the Rings,2003
322,2,The Lord of the Rings: The Two Towers,NL,339789881,3622,62007528,3622,12/18/02,The Lord of the Rings,2002
323,3,The Lord of the Rings: The Fellowship of the Ring,NL,313364114,3381,47211490,3359,12/19/01,The Lord of the Rings,2001
324,4,The Lord of the Rings (1978),UA,30471420,31,626649,31,11/15/78,The Lord of the Rings,1978
325,1,Mad Max: Fury Road,WB,153636354,3722,45428128,3702,5/15/15,Mad Max,2015
326,2,Mad Max Beyond Thunderdome,WB,36230219,1475,7283714,1474,7/12/85,Mad Max,1985
327,3,The Road Warrior,WB,23667907,708,2527864,704,5/21/82,Mad Max,1982
328,4,Mad Max,Film,8750000,0,0,0,3/21/80,Mad Max,1980
329,1,Madagascar 3: Europe's Most Wanted,P/DW,216391482,4263,60316738,4258,6/8/12,Madagascar,2012
330,2,Madagascar,DW,193595521,4142,47224594,4131,5/27/05,Madagascar,2005
331,3,Madagascar: Escape 2 Africa,P/DW,180010950,4065,63106589,4056,11/7/08,Madagascar,2008
332,4,Penguins of Madagascar,Fox,83350911,3775,25447444,3764,11/26/14,Madagascar,2014
333,1,Tyler Perry's Madea Goes to Jail,LGF,90508336,2203,41030947,2032,2/20/09,Madea,2009
334,2,Boo! A Madea Halloween,LGF,73206343,2299,28501448,2260,10/21/16,Madea,2016
335,3,Tyler Perry's Madea's Witness Protection,LGF,65653242,2161,25390575,2161,6/29/12,Madea,2012
336,4,Tyler Perry's Madea's Family Reunion,LGF,63257940,2194,30030661,2194,2/24/06,Madea,2006
337,5,Tyler Perry's Madea's Big Happy Family,LGF,53345287,2288,25068677,2288,4/22/11,Madea,2011
338,6,Tyler Perry's A Madea Christmas,LGF,52543354,2194,16007634,2194,12/13/13,Madea,2013
339,7,Tyler Perry's Diary of a Mad Black Woman,Lions,50633099,1703,21905089,1483,2/25/05,Madea,2005
340,8,Tyler Perry's Boo 2! A Madea Halloween,LGF,47319572,2388,21226953,2388,10/20/17,Madea,2017
341,1,Black Panther,BV,699822507,4084,202003951,4020,2/16/18,Marvel Cinematic Universe,2018
342,2,Avengers: Infinity War,BV,672913479,4474,257698183,4474,4/27/18,Marvel Cinematic Universe,2018
343,3,Marvel's The Avengers,BV,623357910,4349,207438708,4349,5/4/12,Marvel Cinematic Universe,2012
344,4,Avengers: Age of Ultron,BV,459005868,4276,191271109,4276,5/1/15,Marvel Cinematic Universe,2015
345,5,Iron Man 3,BV,409013994,4253,174144585,4253,5/3/13,Marvel Cinematic Universe,2013
346,6,Captain America: Civil War,BV,408084349,4226,179139142,4226,5/6/16,Marvel Cinematic Universe,2016
347,7,Guardians of the Galaxy Vol. 2,BV,389813101,4347,146510104,4347,5/5/17,Marvel Cinematic Universe,2017
348,8,Spider-Man: Homecoming,Sony,334201140,4348,117027503,4348,7/7/17,Marvel Cinematic Universe,2017
349,9,Guardians of the Galaxy,BV,333176600,4088,94320883,4080,8/1/14,Marvel Cinematic Universe,2014
350,10,Iron Man,Par.,318412101,4154,98618668,4105,5/2/08,Marvel Cinematic Universe,2008
351,11,Thor: Ragnarok,BV,315058289,4080,122744989,4080,11/3/17,Marvel Cinematic Universe,2017
352,12,Iron Man 2,Par.,312433331,4390,128122480,4380,5/7/10,Marvel Cinematic Universe,2010
353,13,Captain America: The Winter Soldier,BV,259766572,3938,95023721,3938,4/4/14,Marvel Cinematic Universe,2014
354,14,Doctor Strange,BV,232641920,3882,85058311,3882,11/4/16,Marvel Cinematic Universe,2016
355,15,Thor: The Dark World,BV,206362140,3841,85737841,3841,11/8/13,Marvel Cinematic Universe,2013
356,16,Thor,Par.,181030624,3963,65723338,3955,5/6/11,Marvel Cinematic Universe,2011
357,17,Ant-Man,BV,180202163,3868,57225526,3856,7/17/15,Marvel Cinematic Universe,2015
358,18,Captain America: The First Avenger,Par.,176654505,3715,65058524,3715,7/22/11,Marvel Cinematic Universe,2011
359,19,The Incredible Hulk,Uni.,134806913,3508,55414050,3505,6/13/08,Marvel Cinematic Universe,2008
360,1,The Matrix Reloaded,WB,281576461,3603,91774413,3603,5/15/03,The Matrix,2003
361,2,The Matrix,WB,171479930,2903,27788331,2849,3/31/99,The Matrix,1999
362,3,The Matrix Revolutions,WB,139313948,3502,48475154,3502,11/5/03,The Matrix,2003
363,1,The Maze Runner,Fox,102427862,3638,32512804,3604,9/19/14,Maze Runner,2014
364,2,Maze Runner: The Scorch Trials,Fox,81697192,3792,30316510,3791,9/18/15,Maze Runner,2015
365,3,Maze Runner: The Death Cure,Fox,58032443,3793,24167011,3787,1/26/18,Maze Runner,2018
366,1,Men in Black,Sony,250690539,3180,51068455,3020,7/2/97,Men in Black,1997
367,2,Men in Black II,Sony,190418803,3641,52148751,3557,7/3/02,Men in Black,2002
368,3,MIB 3,Sony,179020854,4248,54592779,4248,5/25/12,Men in Black,2012
369,1,The Lord of the Rings: The Return of the King,NL,377027325,3703,72629713,3703,12/17/03,Middle Earth,2003
370,2,The Lord of the Rings: The Two Towers,NL,339789881,3622,62007528,3622,12/18/02,Middle Earth,2002
371,3,The Lord of the Rings: The Fellowship of the Ring,NL,313364114,3381,47211490,3359,12/19/01,Middle Earth,2001
372,4,The Hobbit: An Unexpected Journey,WB (NL),303003568,4100,84617303,4045,12/14/12,Middle Earth,2012
373,5,The Hobbit: The Desolation of Smaug,WB (NL),258366855,3928,73645197,3903,12/13/13,Middle Earth,2013
374,6,The Hobbit: The Battle of the Five Armies,WB (NL),255119788,3875,54724334,3875,12/17/14,Middle Earth,2014
375,1,Mission: Impossible II,Par.,215409889,3669,57845297,3653,5/24/00,Mission: Impossible,2000
376,2,Mission: Impossible - Ghost Protocol,Par.,209397903,3555,12785204,425,12/16/11,Mission: Impossible,2011
377,3,Mission: Impossible - Rogue Nation,Par.,195042377,3988,55520089,3956,7/31/15,Mission: Impossible,2015
378,4,Mission: Impossible,Par.,180981856,3012,45436830,3012,5/22/96,Mission: Impossible,1996
379,5,Mission: Impossible III,Par.,134029801,4059,47743273,4054,5/5/06,Mission: Impossible,2006
380,1,Monsters University,BV,268492764,4004,82429469,4004,6/21/13,"Monsters, Inc.",2013
381,2,"Monsters, Inc.",BV,255873250,3649,62577067,3237,11/2/01,"Monsters, Inc.",2001
382,1,The Mummy Returns,Uni.,202019785,3553,68139035,3401,5/4/01,The Mummy,2001
383,2,The Mummy,Uni.,155385488,3411,43369635,3210,5/7/99,The Mummy,1999
384,3,The Mummy: Tomb of the Dragon Emperor,Uni.,102491776,3778,40457770,3760,8/1/08,The Mummy,2008
385,4,The Scorpion King,Uni.,91047077,3466,36075875,3444,4/19/02,The Mummy,2002
386,1,My Big Fat Greek Wedding,IFC,241438208,2016,597362,108,4/19/02,My Big Fat Greek Wedding,2002
387,2,My Big Fat Greek Wedding 2,Uni.,59689605,3179,17861950,3133,3/25/16,My Big Fat Greek Wedding,2016
388,1,The Naked Gun 2 1/2: The Smell of Fear,Par.,86930411,2378,20817139,2378,6/28/91,The Naked Gun,1991
389,2,The Naked Gun: From the Files of Police Squad!,Par.,78756177,1969,9331746,1576,12/2/88,The Naked Gun,1988
390,3,The Naked Gun 33 1/3: The Final Insult,Par.,51132598,2383,13216531,2361,3/18/94,The Naked Gun,1994
391,1,Neighbors,Uni.,150157400,3311,49033915,3279,5/9/14,Neighbors,2014
392,2,Neighbors 2: Sorority Rising,Uni.,55455765,3416,21760405,3384,5/20/16,Neighbors,2016
393,1,Night at the Museum,Fox,250863268,3768,30433781,3685,12/22/06,Night at the Museum,2006
394,2,Night at the Museum: Battle of the Smithsonian,Fox,177243721,4101,54173286,4096,5/22/09,Night at the Museum,2009
395,3,Night at the Museum: Secret of the Tomb,Fox,113746621,3914,17100520,3785,12/19/14,Night at the Museum,2014
396,1,Now You See Me,LG/S,117723989,3082,29350389,2925,5/31/13,Now You See Me,2013
397,2,Now You See Me 2,LG/S,65075540,3232,22383146,3232,6/10/16,Now You See Me,2016
398,1,Ocean's Eleven,WB,183417150,3075,38107822,3075,12/7/01,Ocean's 11,2001
399,2,Ocean's Twelve,WB,125544280,3290,39153380,3290,12/10/04,Ocean's 11,2004
400,3,Ocean's Thirteen,WB,117154724,3565,36133403,3565,6/8/07,Ocean's 11,2007
401,4,Ocean's 8,WB,116378931,4145,41607378,4145,6/8/18,Ocean's 11,2018
402,1,Pacific Rim,WB,101802906,3285,37285325,3275,7/12/13,Pacific Rim,2013
403,2,Pacific Rim Uprising,Uni.,59185715,3708,28116535,3708,3/23/18,Pacific Rim,2018
404,1,Paddington,W/Dim.,76271832,3355,18966676,3303,1/16/15,Paddington Bear,2015
405,2,Paddington 2,WB,40442052,3702,11001961,3702,1/12/18,Paddington Bear,2018
406,1,Paranormal Activity,Par.,107918810,2712,77873,12,9/25/09,Paranormal Activity,2009
407,2,Paranormal Activity 3,Par.,104028807,3329,52568183,3321,10/21/11,Paranormal Activity,2011
408,3,Paranormal Activity 2,Par.,84752907,3239,40678424,3216,10/22/10,Paranormal Activity,2010
409,4,Paranormal Activity 4,Par.,53900335,3412,29003866,3412,10/19/12,Paranormal Activity,2012
410,5,Paranormal Activity: The Marked Ones,Par.,32462372,2883,18343611,2867,1/3/14,Paranormal Activity,2014
411,6,Paranormal Activity: The Ghost Dimension,Par.,18300124,1656,8070493,1656,10/23/15,Paranormal Activity,2015
412,1,Paul Blart: Mall Cop,Sony,146336178,3206,31832636,3144,1/16/09,Paul Blart,2009
413,2,Paul Blart: Mall Cop 2,Sony,71038190,3633,23762435,3633,4/17/15,Paul Blart,2015
414,1,Pirates of the Caribbean: Dead Man's Chest,BV,423315812,4133,135634554,4133,7/7/06,Pirates of the Caribbean,2006
415,2,Pirates of the Caribbean: At World's End,BV,309420425,4362,114732820,4362,5/25/07,Pirates of the Caribbean,2007
416,3,Pirates of the Caribbean: The Curse of the Black Pearl,BV,305413918,3416,46630690,3269,7/9/03,Pirates of the Caribbean,2003
417,4,Pirates of the Caribbean: On Stranger Tides,BV,241071802,4164,90151958,4155,5/20/11,Pirates of the Caribbean,2011
418,5,Pirates of the Caribbean: Dead Men Tell No Tales,BV,172558876,4276,62983253,4276,5/26/17,Pirates of the Caribbean,2017
419,1,Pitch Perfect 2,Uni.,184296230,3660,69216890,3473,5/15/15,Pitch Perfect Trilogy,2015
420,2,Pitch Perfect 3,Uni.,104897530,3468,19928525,3447,12/22/17,Pitch Perfect Trilogy,2017
421,3,Pitch Perfect,Uni.,65001093,2787,5149433,335,9/28/12,Pitch Perfect Trilogy,2012
422,1,Dawn of the Planet of the Apes,Fox,208545589,3969,72611427,3967,7/11/14,Planet of the Apes,2014
423,2,Planet of the Apes (2001),Fox,180011740,3530,68532960,3500,7/27/01,Planet of the Apes,2001
424,3,Rise of the Planet of the Apes,Fox,176760185,3691,54806191,3648,8/5/11,Planet of the Apes,2011
425,4,War for the Planet of the Apes,Fox,146880162,4100,56262929,4022,7/14/17,Planet of the Apes,2017
426,5,Planet of the Apes,Fox,32589624,0,0,0,2/8/68,Planet of the Apes,2068
427,6,Beneath the Planet of the Apes,Fox,18999718,0,0,0,5/27/70,Planet of the Apes,1970
428,7,Escape from the Planet of the Apes,Fox,12348905,0,0,0,5/21/71,Planet of the Apes,1971
429,8,Conquest of the Planet of the Apes,Fox,9043472,0,0,0,6/14/72,Planet of the Apes,1972
430,9,Battle for the Planet of the Apes,Fox,8844595,0,0,0,5/23/73,Planet of the Apes,1973
431,1,Dawn of the Planet of the Apes,Fox,208545589,3969,72611427,3967,7/11/14,Planet of the Apes (2011-2017),2014
432,2,Rise of the Planet of the Apes,Fox,176760185,3691,54806191,3648,8/5/11,Planet of the Apes (2011-2017),2011
433,3,War for the Planet of the Apes,Fox,146880162,4100,56262929,4022,7/14/17,Planet of the Apes (2011-2017),2017
434,1,Porky's,Fox,105492483,1605,7623988,1148,3/19/82,Porky's,1982
435,2,Porky's II: The Next Day,Fox,33759266,1564,7054988,1511,6/24/83,Porky's,1983
436,3,Porky's Revenge (Part III),Fox,20518905,1423,6207507,1423,3/22/85,Porky's,1985
437,1,Alien Vs. Predator,Fox,80282231,3401,38291056,3395,8/13/04,Predator,2004
438,2,Predator,Fox,59735548,1636,12031638,1623,6/12/87,Predator,1987
439,3,Predators,Fox,52000688,2669,24760882,2669,7/9/10,Predator,2010
440,4,Aliens Vs. Predator - Requiem,Fox,41797066,2617,10059425,2611,12/25/07,Predator,2007
441,5,Predator 2,Fox,30669413,1978,8784943,1950,11/21/90,Predator,1990
442,1,The Purge: Election Year,Uni.,79213375,2821,31515110,2796,7/1/16,The Purge,2016
443,2,The Purge: Anarchy,Uni.,71962800,2856,29816675,2805,7/18/14,The Purge,2014
444,3,The Purge,Uni.,64473115,2591,34058360,2536,6/7/13,The Purge,2013
445,1,Rambo: First Blood Part II,TriS,150415432,2074,20176217,2074,5/22/85,Rambo,1985
446,2,Rambo III,TriS,53715611,2562,13034238,2562,5/25/88,Rambo,1988
447,3,First Blood,Orion,47212904,1054,6642005,901,10/22/82,Rambo,1982
448,4,Rambo,LGF,42754105,2764,18203876,2751,1/25/08,Rambo,2008
449,1,Red,Sum.,90380162,3349,21761408,3255,10/15/10,Red,2010
450,2,Red 2,LG/S,53262560,3016,18048422,3016,7/19/13,Red,2013
451,1,Ride Along,Uni.,134938200,2867,41516170,2663,1/17/14,Ride Along,2014
452,2,Ride Along 2,Uni.,91221830,3192,35243095,3175,1/15/16,Ride Along,2016
453,1,The Ring,DW,129128133,2927,15015393,1981,10/18/02,The Ring,2002
454,2,The Ring Two,DW,76231249,3341,35065237,3332,3/18/05,The Ring,2005
455,3,Rings,Par.,27793018,2931,13002632,2931,2/3/17,The Ring,2017
456,1,Rio,Fox,143619809,3842,39225962,3826,4/15/11,Rio,2011
457,2,Rio 2,Fox,131538435,3975,39327869,3948,4/11/14,Rio,2014
458,1,The Da Vinci Code,Sony,217536138,3757,77073388,3735,5/19/06,Robert Langdon,2006
459,2,Angels & Demons,Sony,133375846,3527,46204168,3527,5/15/09,Robert Langdon,2009
460,3,Inferno,Sony,34343574,3576,14860425,3576,10/28/16,Robert Langdon,2016
461,1,Rocky IV,UA,127873716,2254,19991537,1325,11/27/85,Rocky,1985
462,2,Rocky III,UA,124146897,1317,12431486,939,5/28/82,Rocky,1982
463,3,Rocky,UA,117235147,0,0,0,11/21/76,Rocky,1976
464,4,Creed,WB (NL),109767581,3502,29632823,3404,11/25/15,Rocky,2015
465,5,Rocky II,UA,85182160,0,6390537,780,6/15/79,Rocky,1979
466,6,Rocky Balboa,MGM,70270943,3019,12158168,3017,12/20/06,Rocky,2006
467,7,Rocky V,UA,40946358,2106,14073170,2053,11/16/90,Rocky,1990
468,1,The Rugrats Movie,Par.,100494675,2832,27321470,2782,11/20/98,Rugrats,1998
469,2,Rugrats in Paris: The Movie,Par.,76507756,2937,22718184,2934,11/17/00,Rugrats,2000
470,3,Rugrats Go Wild,Par.,39402572,3041,11556869,3041,6/13/03,Rugrats,2003
471,1,Rush Hour 2,NL,226164286,3118,67408222,3118,8/3/01,Rush Hour,2001
472,2,Rush Hour,NL,141186864,2724,33001803,2638,9/18/98,Rush Hour,1998
473,3,Rush Hour 3,NL,140125968,3778,49100158,3778,8/10/07,Rush Hour,2007
474,1,The Santa Clause,BV,144833357,2388,19321992,2183,11/11/94,The Santa Clause,1994
475,2,The Santa Clause 2,BV,139236327,3352,29008696,3350,11/1/02,The Santa Clause,2002
476,3,The Santa Clause 3: The Escape Clause,BV,84500122,3458,19504038,3458,11/3/06,The Santa Clause,2006
477,1,Saw II,Lions,87039965,2949,31725652,2949,10/28/05,Saw,2005
478,2,Saw III,LGF,80238724,3167,33610391,3167,10/27/06,Saw,2006
479,3,Saw IV,LGF,63300095,3183,31756764,3183,10/26/07,Saw,2007
480,4,Saw V,LGF,56746769,3084,30053954,3060,10/24/08,Saw,2008
481,5,Saw,Lions,55185045,2467,18276468,2315,10/29/04,Saw,2004
482,6,Saw 3D,LGF,45710178,2808,22530123,2808,10/29/10,Saw,2010
483,7,Jigsaw,LGF,38052832,2941,16640452,2941,10/27/17,Saw,2017
484,8,Saw VI,LGF,27693292,3036,14118444,3036,10/23/09,Saw,2009
485,1,Scary Movie,Mira.,157019771,3301,42346669,2912,7/7/00,Scary Movie,2000
486,2,Scary Movie 3,Dim.,110003217,3505,48113770,3505,10/24/03,Scary Movie,2003
487,3,Scary Movie 4,W/Dim.,90710620,3674,40222875,3602,4/14/06,Scary Movie,2006
488,4,Scary Movie 2,Mira.,71308997,3220,20503356,3220,7/4/01,Scary Movie,2001
489,5,Scary Movie 5,W/Dim.,32015787,3402,14157367,3402,4/12/13,Scary Movie,2013
490,1,Scooby-Doo,WB,153294164,3447,54155312,3447,6/14/02,Scooby-Doo,2002
491,2,Scooby-Doo 2: Monsters Unleashed,WB,84216833,3312,29438331,3312,3/26/04,Scooby-Doo,2004
492,1,Scream,Dim.,103046663,1994,6354586,1413,12/20/96,Scream,1996
493,2,Scream 2,Dim.,101363301,2688,32926342,2663,12/12/97,Scream,1997
494,3,Scream 3,Dim.,89143175,3467,34713342,3467,2/4/00,Scream,2000
495,4,Scream 4,W/Dim.,38180928,3314,18692090,3305,4/15/11,Scream,2011
496,1,Sherlock Holmes,WB,209028679,3626,62304277,3626,12/25/09,Sherlock Holmes,2009
497,2,Sherlock Holmes: A Game of Shadows,WB,186848418,3703,39637079,3703,12/16/11,Sherlock Holmes,2011
498,1,Shrek 2,DW,441226247,4223,108037878,4163,5/19/04,Shrek,2004
499,2,Shrek the Third,P/DW,322719944,4172,121629270,4122,5/18/07,Shrek,2007
500,3,Shrek,DW,267665011,3715,42347760,3587,5/16/01,Shrek,2001
501,4,Shrek Forever After,P/DW,238736787,4386,70838207,4359,5/21/10,Shrek,2010
502,5,Puss in Boots,P/DW,149260504,3963,34077439,3952,10/28/11,Shrek,2011
503,1,Smokey and the Bandit,Uni.,126737428,0,0,0,5/27/77,Smokey and the Bandit,1977
504,2,Smokey and the Bandit II,Uni.,66132626,0,10883835,1196,8/15/80,Smokey and the Bandit,1980
505,3,Smokey & the Bandit Part III,Uni.,5678950,1119,1728060,498,8/12/83,Smokey and the Bandit,1983
506,1,The Smurfs,Sony,142614158,3427,35611637,3395,7/29/11,The Smurfs,2011
507,2,The Smurfs 2,Sony,71017784,3867,17548389,3866,7/31/13,The Smurfs,2013
508,3,Smurfs: The Lost Village,Sony,45020282,3610,13210449,3610,4/7/17,The Smurfs,2017
509,4,The Smurfs and the Magic Flute,Atl,11234220,432,1180582,183,10/7/83,The Smurfs,1983
510,1,Snow White and the Huntsman,Uni.,155332381,3777,56217700,3773,6/1/12,Snow White and the Huntsman,2012
511,2,The Huntsman: Winter's War,Uni.,48390190,3802,19445035,3791,4/22/16,Snow White and the Huntsman,2016
512,1,Spider-Man,Sony,403706375,3876,114844116,3615,5/3/02,Spider-Man,2002
513,2,Spider-Man 2,Sony,373585825,4166,88156227,4152,6/30/04,Spider-Man,2004
514,3,Spider-Man 3,Sony,336530303,4324,151116516,4252,5/4/07,Spider-Man,2007
515,4,Spider-Man: Homecoming,Sony,334201140,4348,117027503,4348,7/7/17,Spider-Man,2017
516,5,The Amazing Spider-Man,Sony,262030663,4318,62004688,4318,7/3/12,Spider-Man,2012
517,6,The Amazing Spider-Man 2,Sony,202853933,4324,91608337,4324,5/2/14,Spider-Man,2014
518,1,The SpongeBob Movie: Sponge Out of Water,Par.,162994032,3680,55365012,3641,2/6/15,SpongeBob,2015
519,2,The SpongeBob SquarePants Movie,Par.,85417988,3307,32018216,3212,11/19/04,SpongeBob,2004
520,1,Spy Kids,Mira.,112719001,3191,26546881,3104,3/30/01,Spy Kids,2001
521,2,Spy Kids 3D: Game Over,Dim.,111761982,3388,33417739,3344,7/25/03,Spy Kids,2003
522,3,Spy Kids 2: The Island of Lost Dreams,Dim.,85846429,3307,16711716,3307,8/7/02,Spy Kids,2002
523,4,Spy Kids: All the Time in the World,W/Dim.,38538188,3305,11644672,3295,8/19/11,Spy Kids,2011
524,1,Star Trek,Par.,257730019,4053,75204289,3849,5/8/09,Star Trek,2009
525,2,Star Trek Into Darkness,Par.,228778661,3907,70165559,3868,5/16/13,Star Trek,2013
526,3,Star Trek Beyond,Par.,158848340,3928,59253211,3928,7/22/16,Star Trek,2016
527,4,Star Trek IV: The Voyage Home,Par.,109713132,1956,16881888,1349,11/26/86,Star Trek,1986
528,5,Star Trek: First Contact,Par.,92027888,2812,30716131,2812,11/22/96,Star Trek,1996
529,6,Star Trek: The Motion Picture,Par.,82258456,1002,11926421,857,12/7/79,Star Trek,1979
530,7,Star Trek II: The Wrath of Khan,Par.,78912963,1621,14347221,1621,6/4/82,Star Trek,1982
531,8,Star Trek III: The Search for Spock,Par.,76471046,1966,16673295,1966,6/1/84,Star Trek,1984
532,9,Star Trek: Generations,Par.,75671125,2681,23116394,2659,11/18/94,Star Trek,1994
533,10,Star Trek VI: The Undiscovered Country,Par.,74888996,2147,18162837,1804,12/6/91,Star Trek,1991
534,11,Star Trek: Insurrection,Par.,70187658,2677,22052836,2620,12/11/98,Star Trek,1998
535,12,Star Trek V: The Final Frontier,Par.,52210049,2202,17375648,2202,6/9/89,Star Trek,1989
536,13,Star Trek: Nemesis,Par.,43254409,2711,18513305,2711,12/13/02,Star Trek,2002
537,1,Star Wars: The Force Awakens,BV,936662225,4134,247966675,4134,12/18/15,Star Wars,2015
538,2,Star Wars: The Last Jedi,BV,620181382,4232,220009584,4232,12/15/17,Star Wars,2017
539,3,Rogue One: A Star Wars Story,BV,532177324,4157,155081681,4157,12/16/16,Star Wars,2016
540,4,Star Wars: Episode I - The Phantom Menace,Fox,431088295,3126,64820970,2970,5/19/99,Star Wars,1999
541,5,Star Wars: Episode III - Revenge of the Sith,Fox,380270577,3663,108435841,3661,5/19/05,Star Wars,2005
542,6,Star Wars,Fox,307263857,1750,1554475,43,5/25/77,Star Wars,1977
543,7,Star Wars: Episode II - Attack of the Clones,Fox,302191252,3161,80027814,3161,5/16/02,Star Wars,2002
544,8,Return of the Jedi,Fox,252583617,1764,23019618,1002,5/25/83,Star Wars,1983
545,9,The Empire Strikes Back,Fox,209398025,1278,4910483,126,5/21/80,Star Wars,1980
546,10,Solo: A Star Wars Story,BV,208159516,4381,84420489,4381,5/25/18,Star Wars,2018
547,11,Star Wars (Special Edition)(Re-release),Fox,138257865,2375,35906661,2104,1/31/97,Star Wars,1997
548,1,Rogue One: A Star Wars Story,BV,532177324,4157,155081681,4157,12/16/16,Star Wars Anthology,2016
549,2,Solo: A Star Wars Story,BV,208159516,4381,84420489,4381,5/25/18,Star Wars Anthology,2018
550,1,Batman v Superman: Dawn of Justice,WB,330360194,4256,166007347,4242,3/25/16,Superman,2016
551,2,Man of Steel,WB,291045518,4207,116619362,4207,6/14/13,Superman,2013
552,3,Superman Returns,WB,200081192,4065,52535096,4065,6/28/06,Superman,2006
553,4,Superman,WB,134218018,817,7465343,508,12/15/78,Superman,1978
554,5,Superman II,WB,108185706,1878,14100523,1397,6/19/81,Superman,1981
555,6,Superman III,WB,59950623,1763,13352357,1759,6/17/83,Superman,1983
556,7,Superman IV: The Quest for Peace,WB,15681020,1511,5683122,1511,7/24/87,Superman,1987
557,1,Taken,Fox,145000989,3184,24717037,3183,1/30/09,Taken,2009
558,2,Taken 2,Fox,139854287,3706,49514769,3661,10/5/12,Taken,2012
559,3,Taken 3,Fox,89256424,3594,39201657,3594,1/9/15,Taken,2015
560,1,Ted,Uni.,218815487,3303,54415205,3239,6/29/12,Ted,2012
