,Rank,Movie,Studio,Gross,Theatre,Opening,Opening Theatre,Date,Franchise,Year
67,1,The Blair Witch Project,Art.,140539099,2538,1512054,27,7/16/99,Blair Witch,1999
68,2,Book of Shadows: Blair Witch 2,Art.,26437094,3320,13223887,3317,10/27/00,Blair Witch,2000
69,3,Blair Witch,LGF,20777061,3121,9576057,3121,9/16/16,Blair Witch,2016
70,1,The Bourne Ultimatum,Uni.,227471070,3701,69283690,3660,8/3/07,Bourne,2007
71,2,The Bourne Supremacy,Uni.,176241941,3304,52521865,3165,7/23/04,Bourne,2004
72,3,Jason Bourne,Uni.,162434410,4039,59215365,4026,7/29/16,Bourne,2016
73,4,The Bourne Identity,Uni.,121661683,2663,27118640,2638,6/14/02,Bourne,2002
74,5,The Bourne Legacy,Uni.,113203870,3753,38142825,3745,8/10/12,Bourne,2012
75,1,Captain America: Civil War,BV,408084349,4226,179139142,4226,5/6/16,Captain America,2016
76,2,Captain America: The Winter Soldier,BV,259766572,3938,95023721,3938,4/4/14,Captain America,2014
77,3,Captain America: The First Avenger,Par.,176654505,3715,65058524,3715,7/22/11,Captain America,2011
78,1,Cars,BV,244082982,3988,60119509,3985,6/9/06,Cars,2006
79,2,Cars 2,BV,191452396,4115,66135507,4115,6/24/11,Cars,2011
80,3,Cars 3,BV,152901115,4256,53688680,4256,6/16/17,Cars,2017
81,1,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",BV,291710957,3853,65556312,3616,12/9/05,The Chronicles of Narnia,2005
82,2,The Chronicles of Narnia: Prince Caspian,BV,141621490,3929,55034805,3929,5/16/08,The Chronicles of Narnia,2008
83,3,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104386950,3555,24005069,3555,12/10/10,The Chronicles of Narnia,2010
84,1,Cloudy with a Chance of Meatballs,Sony,124870275,3119,30304648,3119,9/18/09,Cloudy with a Chance of Meatballs,2009
85,2,Cloudy with a Chance of Meatballs 2,Sony,119793567,4001,34017930,4001,9/27/13,Cloudy with a Chance of Meatballs,2013
86,1,Cloverfield,Par.,80048433,3411,40058229,3411,1/18/08,Cloverfield,2008
87,2,10 Cloverfield Lane,Par.,72082998,3427,24727437,3391,3/11/16,Cloverfield,2016
88,1,The Conjuring,WB (NL),137400141,3115,41855326,2903,7/19/13,The Conjuring,2013
89,2,The Conjuring 2,WB (NL),102470008,3356,40406314,3343,6/10/16,The Conjuring,2016
90,3,Annabelle: Creation,WB (NL),102092201,3565,35006404,3502,8/11/17,The Conjuring,2017
91,4,Annabelle,WB (NL),84273813,3215,37134255,3185,10/3/14,The Conjuring,2014
92,1,Crocodile Dundee,Par.,174803506,1495,8038855,879,9/26/86,Crocodile Dundee,1986
93,2,Crocodile Dundee II,Par.,109306210,2837,24462976,2837,5/25/88,Crocodile Dundee,1988
94,3,Crocodile Dundee in Los Angeles,Par.,25635682,2166,7714362,2123,4/20/01,Crocodile Dundee,2001
95,1,Daddy's Home,Par.,150357137,3483,38740203,3271,12/25/15,Daddy's Home,2015
96,2,Daddy's Home 2,Par.,104029443,3575,29651193,3575,11/10/17,Daddy's Home,2017
97,1,The Dark Knight,WB,533345358,4366,158411483,4366,7/18/08,The Dark Knight Trilogy,2008
98,2,The Dark Knight Rises,WB,448139099,4404,160887295,4404,7/20/12,The Dark Knight Trilogy,2012
99,3,Batman Begins,WB,205343774,3858,48745440,3858,6/15/05,The Dark Knight Trilogy,2005
100,1,Wonder Woman,WB,412563408,4165,103251471,4165,6/2/17,DC Extended Universe,2017
101,2,Batman v Superman: Dawn of Justice,WB,330360194,4256,166007347,4242,3/25/16,DC Extended Universe,2016
102,3,Suicide Squad,WB,325100054,4255,133682248,4255,8/5/16,DC Extended Universe,2016
103,4,Man of Steel,WB,291045518,4207,116619362,4207,6/14/13,DC Extended Universe,2013
104,5,Justice League,WB,229024295,4051,93842239,4051,11/17/17,DC Extended Universe,2017
105,1,Deadpool,Fox,363070709,3856,132434639,3558,2/12/16,Deadpool,2016
106,2,Deadpool 2,Fox,311082941,4349,125507153,4349,5/18/18,Deadpool,2018
