,Rank,Movie,Studio,Gross,Theatre,Opening,Opening Theatre,Date,Franchise,Year,Imdb Year,Imdb Rating,Meta Score
233,1,Men in Black,Sony,250690539,3180,51068455,3020,7/2/97,Men in Black,1997,1997,7.3,71
234,2,Men in Black II,Sony,190418803,3641,52148751,3557,7/3/02,Men in Black,2002,2002,6.1,49
235,3,MIB 3,Sony,179020854,4248,54592779,4248,5/25/12,Men in Black,2012,2012,6.8,58
242,1,Mission: Impossible II,Par.,215409889,3669,57845297,3653,5/24/00,Mission: Impossible,2000,2000,6.1,59
243,2,Mission: Impossible - Ghost Protocol,Par.,209397903,3555,12785204,425,12/16/11,Mission: Impossible,2011,2011,7.4,73
244,3,Mission: Impossible - Rogue Nation,Par.,195042377,3988,55520089,3956,7/31/15,Mission: Impossible,2015,2015,7.4,75
245,4,Mission: Impossible,Par.,180981856,3012,45436830,3012,5/22/96,Mission: Impossible,1996,1996,7.1,59
246,5,Mission: Impossible III,Par.,134029801,4059,47743273,4054,5/5/06,Mission: Impossible,2006,2006,6.9,66
247,1,Monsters University,BV,268492764,4004,82429469,4004,6/21/13,"Monsters, Inc.",2013,2013,7.3,65
248,2,"Monsters, Inc.",BV,255873250,3649,62577067,3237,11/2/01,"Monsters, Inc.",2001,2001,8.1,78
249,1,The Mummy Returns,Uni.,202019785,3553,68139035,3401,5/4/01,The Mummy,2001,2001,6.3,48
250,2,The Mummy,Uni.,155385488,3411,43369635,3210,5/7/99,The Mummy,1999,2017,7.0,48
251,3,The Mummy: Tomb of the Dragon Emperor,Uni.,102491776,3778,40457770,3760,8/1/08,The Mummy,2008,2008,5.2,31
252,4,The Scorpion King,Uni.,91047077,3466,36075875,3444,4/19/02,The Mummy,2002,2002,5.5,45
253,1,My Big Fat Greek Wedding,IFC,241438208,2016,597362,108,4/19/02,My Big Fat Greek Wedding,2002,2002,6.6,62
254,2,My Big Fat Greek Wedding 2,Uni.,59689605,3179,17861950,3133,3/25/16,My Big Fat Greek Wedding,2016,2016,6.0,37
255,1,Neighbors,Uni.,150157400,3311,49033915,3279,5/9/14,Neighbors,2014,2014,6.3,68
256,2,Neighbors 2: Sorority Rising,Uni.,55455765,3416,21760405,3384,5/20/16,Neighbors,2016,2016,5.7,58
257,1,Night at the Museum,Fox,250863268,3768,30433781,3685,12/22/06,Night at the Museum,2006,2006,6.4,48
258,2,Night at the Museum: Battle of the Smithsonian,Fox,177243721,4101,54173286,4096,5/22/09,Night at the Museum,2009,2009,5.9,42
259,3,Night at the Museum: Secret of the Tomb,Fox,113746621,3914,17100520,3785,12/19/14,Night at the Museum,2014,2014,6.2,47
260,1,Ocean's Eleven,WB,183417150,3075,38107822,3075,12/7/01,Ocean's 11,2001,2001,7.8,74
261,2,Ocean's Twelve,WB,125544280,3290,39153380,3290,12/10/04,Ocean's 11,2004,2004,6.5,58
262,3,Ocean's Thirteen,WB,117154724,3565,36133403,3565,6/8/07,Ocean's 11,2007,2007,6.9,62
263,4,Ocean's 8,WB,116378931,4145,41607378,4145,6/8/18,Ocean's 11,2018,2018,6.4,61
264,1,Paul Blart: Mall Cop,Sony,146336178,3206,31832636,3144,1/16/09,Paul Blart,2009,2009,5.2,39
265,2,Paul Blart: Mall Cop 2,Sony,71038190,3633,23762435,3633,4/17/15,Paul Blart,2015,2015,4.4,13
266,1,Pirates of the Caribbean: Dead Man's Chest,BV,423315812,4133,135634554,4133,7/7/06,Pirates of the Caribbean,2006,2006,7.3,53
267,2,Pirates of the Caribbean: At World's End,BV,309420425,4362,114732820,4362,5/25/07,Pirates of the Caribbean,2007,2007,7.1,50
268,3,Pirates of the Caribbean: The Curse of the Black Pearl,BV,305413918,3416,46630690,3269,7/9/03,Pirates of the Caribbean,2003,2003,8.0,63
269,4,Pirates of the Caribbean: On Stranger Tides,BV,241071802,4164,90151958,4155,5/20/11,Pirates of the Caribbean,2011,2011,6.6,45
270,5,Pirates of the Caribbean: Dead Men Tell No Tales,BV,172558876,4276,62983253,4276,5/26/17,Pirates of the Caribbean,2017,2017,6.6,39
271,1,Pitch Perfect 2,Uni.,184296230,3660,69216890,3473,5/15/15,Pitch Perfect Trilogy,2015,2015,6.4,63
272,2,Pitch Perfect 3,Uni.,104897530,3468,19928525,3447,12/22/17,Pitch Perfect Trilogy,2017,2017,5.9,40
273,3,Pitch Perfect,Uni.,65001093,2787,5149433,335,9/28/12,Pitch Perfect Trilogy,2012,2012,7.2,66
274,1,Dawn of the Planet of the Apes,Fox,208545589,3969,72611427,3967,7/11/14,Planet of the Apes (2011-2017),2014,2014,7.6,79
275,2,Rise of the Planet of the Apes,Fox,176760185,3691,54806191,3648,8/5/11,Planet of the Apes (2011-2017),2011,2011,7.6,68
276,3,War for the Planet of the Apes,Fox,146880162,4100,56262929,4022,7/14/17,Planet of the Apes (2011-2017),2017,2017,7.5,82
277,1,Ride Along,Uni.,134938200,2867,41516170,2663,1/17/14,Ride Along,2014,2014,6.2,41
278,2,Ride Along 2,Uni.,91221830,3192,35243095,3175,1/15/16,Ride Along,2016,2016,5.9,32
279,1,Rio,Fox,143619809,3842,39225962,3826,4/15/11,Rio,2011,2011,6.9,63
280,2,Rio 2,Fox,131538435,3975,39327869,3948,4/11/14,Rio,2014,2014,6.3,49
281,1,The Da Vinci Code,Sony,217536138,3757,77073388,3735,5/19/06,Robert Langdon,2006,2006,6.6,46
282,2,Angels & Demons,Sony,133375846,3527,46204168,3527,5/15/09,Robert Langdon,2009,2009,6.7,48
283,3,Inferno,Sony,34343574,3576,14860425,3576,10/28/16,Robert Langdon,2016,2016,6.2,42
284,1,Rush Hour 2,NL,226164286,3118,67408222,3118,8/3/01,Rush Hour,2001,2001,6.6,48
285,2,Rush Hour,NL,141186864,2724,33001803,2638,9/18/98,Rush Hour,1998,1998,7.0,60
286,3,Rush Hour 3,NL,140125968,3778,49100158,3778,8/10/07,Rush Hour,2007,2007,6.2,44
287,1,The Santa Clause,BV,144833357,2388,19321992,2183,11/11/94,The Santa Clause,1994,1994,6.4,57
288,2,The Santa Clause 2,BV,139236327,3352,29008696,3350,11/1/02,The Santa Clause,2002,2002,5.6,48
289,3,The Santa Clause 3: The Escape Clause,BV,84500122,3458,19504038,3458,11/3/06,The Santa Clause,2006,2006,4.7,32
290,1,Scooby-Doo,WB,153294164,3447,54155312,3447,6/14/02,Scooby-Doo,2002,2002,5.0,35
291,2,Scooby-Doo 2: Monsters Unleashed,WB,84216833,3312,29438331,3312,3/26/04,Scooby-Doo,2004,2004,5.0,34
292,1,Sherlock Holmes,WB,209028679,3626,62304277,3626,12/25/09,Sherlock Holmes,2009,2009,7.6,57
293,2,Sherlock Holmes: A Game of Shadows,WB,186848418,3703,39637079,3703,12/16/11,Sherlock Holmes,2011,2011,7.5,48
294,1,Shrek 2,DW,441226247,4223,108037878,4163,5/19/04,Shrek,2004,2004,7.2,75
295,2,Shrek the Third,P/DW,322719944,4172,121629270,4122,5/18/07,Shrek,2007,2007,6.0,58
296,3,Shrek,DW,267665011,3715,42347760,3587,5/16/01,Shrek,2001,2001,7.9,84
297,4,Shrek Forever After,P/DW,238736787,4386,70838207,4359,5/21/10,Shrek,2010,2010,6.3,58
298,5,Puss in Boots,P/DW,149260504,3963,34077439,3952,10/28/11,Shrek,2011,2011,6.7,65
299,1,Snow White and the Huntsman,Uni.,155332381,3777,56217700,3773,6/1/12,Snow White and the Huntsman,2012,2012,6.1,57
300,2,The Huntsman: Winter's War,Uni.,48390190,3802,19445035,3791,4/22/16,Snow White and the Huntsman,2016,2016,6.1,35
301,1,Spider-Man,Sony,403706375,3876,114844116,3615,5/3/02,Spider-Man,2002,2002,7.3,73
302,2,Spider-Man 2,Sony,373585825,4166,88156227,4152,6/30/04,Spider-Man,2004,2004,7.3,83
303,3,Spider-Man 3,Sony,336530303,4324,151116516,4252,5/4/07,Spider-Man,2007,2007,6.2,59
304,4,Spider-Man: Homecoming,Sony,334201140,4348,117027503,4348,7/7/17,Spider-Man,2017,2017,7.5,73
305,5,The Amazing Spider-Man,Sony,262030663,4318,62004688,4318,7/3/12,Spider-Man,2012,2012,7.0,66
306,6,The Amazing Spider-Man 2,Sony,202853933,4324,91608337,4324,5/2/14,Spider-Man,2014,2014,6.7,53
307,1,The SpongeBob Movie: Sponge Out of Water,Par.,162994032,3680,55365012,3641,2/6/15,SpongeBob,2015,2015,6.0,62
308,2,The SpongeBob SquarePants Movie,Par.,85417988,3307,32018216,3212,11/19/04,SpongeBob,2004,2004,7.0,66
309,1,Star Trek,Par.,257730019,4053,75204289,3849,5/8/09,Star Trek,2009,1966,8.0,82
310,2,Star Trek Into Darkness,Par.,228778661,3907,70165559,3868,5/16/13,Star Trek,2013,2013,7.7,72
311,3,Star Trek Beyond,Par.,158848340,3928,59253211,3928,7/22/16,Star Trek,2016,2016,7.1,68
312,4,Star Trek IV: The Voyage Home,Par.,109713132,1956,16881888,1349,11/26/86,Star Trek,1986,1986,7.3,67
313,5,Star Trek: First Contact,Par.,92027888,2812,30716131,2812,11/22/96,Star Trek,1996,1996,7.6,71
314,6,Star Trek: The Motion Picture,Par.,82258456,1002,11926421,857,12/7/79,Star Trek,1979,1979,6.4,48
315,7,Star Trek II: The Wrath of Khan,Par.,78912963,1621,14347221,1621,6/4/82,Star Trek,1982,1982,7.7,71
316,8,Star Trek III: The Search for Spock,Par.,76471046,1966,16673295,1966,6/1/84,Star Trek,1984,1984,6.7,55
317,9,Star Trek: Generations,Par.,75671125,2681,23116394,2659,11/18/94,Star Trek,1994,1994,6.6,55
318,10,Star Trek VI: The Undiscovered Country,Par.,74888996,2147,18162837,1804,12/6/91,Star Trek,1991,1991,7.2,65
319,11,Star Trek: Insurrection,Par.,70187658,2677,22052836,2620,12/11/98,Star Trek,1998,1998,6.4,64
320,12,Star Trek V: The Final Frontier,Par.,52210049,2202,17375648,2202,6/9/89,Star Trek,1989,1989,5.4,43
321,13,Star Trek: Nemesis,Par.,43254409,2711,18513305,2711,12/13/02,Star Trek,2002,2002,6.4,51
322,1,Star Wars: The Force Awakens,BV,936662225,4134,247966675,4134,12/18/15,Star Wars,2015,2015,8.0,81
323,2,Star Wars: The Last Jedi,BV,620181382,4232,220009584,4232,12/15/17,Star Wars,2017,2017,7.3,85
324,3,Rogue One: A Star Wars Story,BV,532177324,4157,155081681,4157,12/16/16,Star Wars,2016,2016,7.8,65
325,4,Star Wars: Episode I - The Phantom Menace,Fox,431088295,3126,64820970,2970,5/19/99,Star Wars,1999,1999,6.5,51
326,5,Star Wars: Episode III - Revenge of the Sith,Fox,380270577,3663,108435841,3661,5/19/05,Star Wars,2005,2005,7.6,68
327,6,Star Wars,Fox,307263857,1750,1554475,43,5/25/77,Star Wars,1977,1977,8.6,90
328,7,Star Wars: Episode II - Attack of the Clones,Fox,302191252,3161,80027814,3161,5/16/02,Star Wars,2002,2002,6.6,54
329,8,Return of the Jedi,Fox,252583617,1764,23019618,1002,5/25/83,Star Wars,1983,1983,8.3,58
330,9,The Empire Strikes Back,Fox,209398025,1278,4910483,126,5/21/80,Star Wars,1980,1980,8.8,82
331,10,Solo: A Star Wars Story,BV,208159516,4381,84420489,4381,5/25/18,Star Wars,2018,2018,7.2,62
333,1,Rogue One: A Star Wars Story,BV,532177324,4157,155081681,4157,12/16/16,Star Wars Anthology,2016,2016,7.8,65
334,2,Solo: A Star Wars Story,BV,208159516,4381,84420489,4381,5/25/18,Star Wars Anthology,2018,2018,7.2,62
335,1,Batman v Superman: Dawn of Justice,WB,330360194,4256,166007347,4242,3/25/16,Superman,2016,2016,6.6,44
336,2,Man of Steel,WB,291045518,4207,116619362,4207,6/14/13,Superman,2013,2013,7.1,55
337,3,Superman Returns,WB,200081192,4065,52535096,4065,6/28/06,Superman,2006,2006,6.1,72
338,4,Superman,WB,134218018,817,7465343,508,12/15/78,Superman,1978,1978,7.3,86
339,5,Superman II,WB,108185706,1878,14100523,1397,6/19/81,Superman,1981,1980,6.8,87
340,6,Superman III,WB,59950623,1763,13352357,1759,6/17/83,Superman,1983,1983,4.9,42
341,7,Superman IV: The Quest for Peace,WB,15681020,1511,5683122,1511,7/24/87,Superman,1987,1987,3.7,22
342,1,Taken,Fox,145000989,3184,24717037,3183,1/30/09,Taken,2009,2017,7.8,50
343,2,Taken 2,Fox,139854287,3706,49514769,3661,10/5/12,Taken,2012,2012,6.3,45
344,3,Taken 3,Fox,89256424,3594,39201657,3594,1/9/15,Taken,2015,2014,6.0,26
345,1,Ted,Uni.,218815487,3303,54415205,3239,6/29/12,Ted,2012,2012,7.0,62
346,2,Ted 2,Uni.,81476385,3448,33507870,3442,6/26/15,Ted,2015,2015,6.3,48
347,1,Terminator 2: Judgment Day,TriS,204843345,2495,31765506,2274,7/3/91,Terminator,1991,1991,8.5,75
348,2,Terminator 3: Rise of the Machines,WB,150371112,3504,44041440,3504,7/2/03,Terminator,2003,2003,6.3,66
349,3,Terminator Salvation,WB,125322469,3602,42558390,3530,5/21/09,Terminator,2009,2009,6.6,49
350,4,Terminator: Genisys,Par.,89760956,3783,27018486,3758,7/1/15,Terminator,2015,2015,6.5,38
351,5,The Terminator,Orion,38371200,1112,4020663,1005,10/26/84,Terminator,1984,1984,8.0,83
352,1,Thor: Ragnarok,BV,315058289,4080,122744989,4080,11/3/17,Thor,2017,2017,7.9,74
353,2,Thor: The Dark World,BV,206362140,3841,85737841,3841,11/8/13,Thor,2013,2013,7.0,54
354,3,Thor,Par.,181030624,3963,65723338,3955,5/6/11,Thor,2011,2011,7.0,57
355,1,Toy Story 3,BV,415004880,4028,110307189,4028,6/18/10,Toy Story,2010,2010,8.3,92
356,2,Toy Story 2,BV,245852179,3257,300163,1,11/19/99,Toy Story,1999,1999,7.9,88
357,3,Toy Story,BV,191796233,2574,29140617,2457,11/22/95,Toy Story,1995,1995,8.3,95
359,1,Transformers: Revenge of the Fallen,P/DW,402111870,4293,108966307,4234,6/24/09,Transformers,2009,2009,6.0,35
360,2,Transformers: Dark of the Moon,P/DW,352390543,4088,97852865,4088,6/29/11,Transformers,2011,2011,6.3,42
361,3,Transformers,P/DW,319246193,4050,70502384,4011,7/3/07,Transformers,2007,2007,7.1,61
362,4,Transformers: Age of Extinction,Par.,245439076,4233,100038390,4233,6/27/14,Transformers,2014,2014,5.7,32
363,5,Transformers: The Last Knight,Par.,130168683,4132,44680073,4069,6/21/17,Transformers,2017,2017,5.2,27
364,6,Transformers: The Movie,DEG,5849647,990,1779559,990,8/8/86,Transformers,1986,1986,7.3,0
365,1,The Twilight Saga: Eclipse,Sum.,300531751,4468,64832191,4468,6/30/10,Twilight,2010,2010,5.0,58
366,2,The Twilight Saga: New Moon,Sum.,296623634,4124,142839137,4024,11/20/09,Twilight,2009,2009,4.7,44
367,3,The Twilight Saga: Breaking Dawn Part 2,LG/S,292324737,4070,141067634,4070,11/16/12,Twilight,2012,2012,5.5,52
368,4,The Twilight Saga: Breaking Dawn Part 1,Sum.,281287133,4066,138122261,4061,11/18/11,Twilight,2011,2012,4.9,45
369,5,Twilight,Sum.,192769854,3649,69637740,3419,11/21/08,Twilight,2008,2008,5.2,56
370,1,Split,Uni.,138291365,3373,40010975,3038,1/20/17,Unbreakable,2017,2016,7.3,62
371,2,Unbreakable,BV,95011339,2708,30330771,2708,11/22/00,Unbreakable,2000,2000,7.2,62
372,1,Logan,Fox,226277068,4071,88411916,4071,3/3/17,Wolverine,2017,2017,8.1,77
373,2,X-Men Origins: Wolverine,Fox,179883157,4102,85058003,4099,5/1/09,Wolverine,2009,2009,6.6,40
374,3,The Wolverine,Fox,132556852,3924,53113752,3924,7/26/13,Wolverine,2013,2013,6.7,61
375,1,Deadpool,Fox,363070709,3856,132434639,3558,2/12/16,X-Men,2016,2016,8.0,65
376,2,Deadpool 2,Fox,311082941,4349,125507153,4349,5/18/18,X-Men,2018,2018,8.1,66
377,3,X-Men: The Last Stand,Fox,234362462,3714,102750665,3690,5/26/06,X-Men,2006,2006,6.7,58
378,4,X-Men: Days of Future Past,Fox,233921534,4001,90823660,3996,5/23/14,X-Men,2014,2014,8.0,75
379,5,Logan,Fox,226277068,4071,88411916,4071,3/3/17,X-Men,2017,2017,8.1,77
380,6,X2: X-Men United,Fox,214949694,3749,85558731,3741,5/2/03,X-Men,2003,2003,7.5,68
381,7,X-Men Origins: Wolverine,Fox,179883157,4102,85058003,4099,5/1/09,X-Men,2009,2009,6.6,40
382,8,X-Men,Fox,157299717,3112,54471475,3025,7/14/00,X-Men,2000,2000,7.4,64
383,9,X-Men: Apocalypse,Fox,155442489,4153,65769562,4150,5/27/16,X-Men,2016,2016,7.0,52
384,10,X-Men: First Class,Fox,146408305,3692,55101604,3641,6/3/11,X-Men,2011,2011,7.8,65
385,11,The Wolverine,Fox,132556852,3924,53113752,3924,7/26/13,X-Men,2013,2013,6.7,61
